index,created_at,custom_comment,sentiment
2545,05/12/2021 15:14,Best of the best,1
2576,06/12/2021 20:08,He is the best guy,1
2608,07/12/2021 22:13,One of the best drivers I’ve ever taken. Utaxi should have more drivers like him. Very patient and helpful,1
2644,09/12/2021 01:45,Thank you Utaxi. For making me to nice one of the best deaf driver again. It was a good ride and a plus for him. Thanks❤️,1
2648,09/12/2021 09:28,The best driver ever !!! Number one !,1
2651,09/12/2021 10:11,great service collected our luggage from one hotel to us. thank you very much!,1
2697,11/12/2021 04:02,"Best Service, Best Music, Best Comfort. 10/10",1
2753,12/12/2021 17:50,Was the beat so far in Ukraine,1
2780,13/12/2021 20:27,Good English! Great Service!,1
2802,14/12/2021 18:00,"great job, thanks",1
2826,15/12/2021 18:02,The best service ever!)🥰,1
2828,15/12/2021 19:17,It was a very pleasure driver with comfort driving to the Railway station. Thanks a lot and enjoy Christmas time,1
2879,17/12/2021 11:04,"One of the best, and polite driver in Chisnau",1
2906,18/12/2021 01:17,"Really,the best ride I ever had in Kiev!!!!!",1
2916,18/12/2021 12:06,The best driver I have met on earth. 🥰,1
2919,18/12/2021 14:34,so far the best driver i’ve driven with,1
2923,18/12/2021 16:47,"Great service, great driver and great car",1
2925,18/12/2021 16:59,One of the rare fast drivers I've ever seen in my life. It almost felt like we took a test round with Schumacher.))),1
2927,18/12/2021 18:45,best driver!!!!!! if you are rock fan - 101 % is this your driver:)))),1
2929,18/12/2021 20:14,I'm very happy that we still have great people in this world. 10/10,1
2941,19/12/2021 07:24,Thanks for the cool music 👌,1
2968,20/12/2021 12:01,first time i meet people who give money for tea its my first experience in Ukraine i see great people,1
2978,20/12/2021 17:22,The best driver 100%,1
2998,21/12/2021 11:40,she is the best and safest driver. we need more like her in Utaxi. woman power is important for such services,1
3107,23/12/2021 22:17,everything was more than great!,1
3171,25/12/2021 12:22,the best driver i have ever had. he helped me to not be late for me train,1
3176,25/12/2021 14:42,The best Utaxi drive &ride,1
3210,26/12/2021 20:31,great service nice car wonderful companion,1
3214,26/12/2021 22:18,Thanks. Well done,1
3215,26/12/2021 22:41,he's a great guy.. 4 stars is okay,1
3260,28/12/2021 09:04,cool car and the driver,1
3269,28/12/2021 12:12,He is the nicest person,1
3303,29/12/2021 13:44,"Excellent!!! Too politely, in the best tradition! Cok tesekkur ederim!!!",1
3305,29/12/2021 14:29,Great driver the  best driver i have ride with,1
3316,29/12/2021 18:45,The best driver in Kyiv! He's very cool!,1
3330,30/12/2021 05:11,very great service,1
3343,30/12/2021 16:25,Great service!,1
3344,30/12/2021 16:38,great atmosphere ),1
3345,30/12/2021 17:04,The best driver in my life,1
3361,31/12/2021 01:51,Best driver ever .. I would’ve giving him 10⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️ but unfortunately there’s only five…Great personalitiy,1
3362,31/12/2021 07:05,Perfect,1
3402,01/01/2022 14:16,One of the best driver in Kiev. Respect him,1
3445,02/01/2022 22:24,Great,1
3446,03/01/2022 00:22,Awesome. The best driver in my life,1
3447,03/01/2022 00:23,wow on the house!bless. thanks Utaxi,1
3449,03/01/2022 00:46,the BEST!!!))),1
3458,03/01/2022 11:25,great guy and a good quality service,1
3482,03/01/2022 19:48,The best driver ever,1
3495,04/01/2022 08:02,Perfect with English just made my morning ☺️❤️,1
3552,05/01/2022 18:34,Great service and experience,1
3557,05/01/2022 20:42,The best of the best!!!,1
3567,06/01/2022 10:31,The best trip everrrrrr,1
3628,08/01/2022 13:54,"I recommend, the BEST!!!",1
3640,08/01/2022 22:10,"It was the best trip ever,Such an amazing person he is !!! The music n sweets n water with super driving n safety )))",1
3663,09/01/2022 16:55,Great! Thanks,1
3665,09/01/2022 17:07,super friendly service and great car . Thanks Utaxi,1
3722,11/01/2022 14:27,Such a gentleman and nice. Thanks Utaxi,1
3730,11/01/2022 18:04,"Quite fun, out going and really fun guy and quite curious lol. Thanks Utaxi",1
3757,12/01/2022 16:01,great car and driver . Thanks Utaxi,1
3762,12/01/2022 18:14,Great personality and really cool and such a gentleman,1
3772,12/01/2022 23:02,this is the best driver,1
3785,13/01/2022 14:30,He’s such a great guy really calm personality oh I bet he’s a genius,1
3797,13/01/2022 20:08,"Fast, nice, car is perfect",1
3802,13/01/2022 22:58,J J is such a fabulous guy!,1
3864,15/01/2022 17:01,One of the best drivers in Utaxi,1
3878,15/01/2022 20:39,Perfect ride,1
3892,16/01/2022 08:26,it can't be more Perfect,1
3954,17/01/2022 17:31,The best trip ever,1
3979,18/01/2022 12:46,"Came 14min too late to us and wasn't in the best condition (windshield, brakes).Was holding phone/GPS in hands & on lap",1
4023,19/01/2022 16:55,He is best driver in ukraine budy ;))),1
4026,19/01/2022 18:20,Perfect! Many thanks =),1
4029,19/01/2022 20:57,The best,1
4039,20/01/2022 08:27,It was the best trip ever 🤍🤍,1
4057,20/01/2022 18:01,One of the best,1
4088,21/01/2022 17:06,The best driver!!!,1
4240,26/01/2022 19:59,great. that was my first time,1
4326,29/01/2022 09:26,Thanks for great ride!,1
4328,29/01/2022 10:40,nice Tour of Kiev,1
4337,29/01/2022 15:28,Perfect service 🤝,1
4368,30/01/2022 18:53,the best driver ever )),1
4420,01/02/2022 17:09,best service I ever had!,1
4452,03/02/2022 04:29,"Best of the best, a real professional",1
4469,03/02/2022 17:03,"The driver provides the service, not just rides. Great one!",1
4527,05/02/2022 12:55,It was a great service . Thumbs up👍,1
4567,06/02/2022 19:08,great guy!!!!!!,1
4573,06/02/2022 19:48,It was the worst trip ever  !,-1
4579,07/02/2022 09:16,Best driver among your company,1
4587,07/02/2022 16:53,Perfect ride,1
4589,07/02/2022 17:10,Very great,1
4633,09/02/2022 11:00,The best of the best!,1
4712,11/02/2022 20:50,One of the best drivers out there no lies,1
4714,11/02/2022 21:49,Yo!..this is probably my best trip yet 💯,1
4748,12/02/2022 20:15,Great Bluetooth in car,1
4789,14/02/2022 03:48,Great ride and great driver. Thanks,1
4801,14/02/2022 14:19,Great driver!,1
4821,15/02/2022 03:29,Great service. Nice ride. Thanks,1
4829,15/02/2022 10:43,The best driver ever! He is so fun and I enjoyed the music in his car. He was amazing ❤️,1
4935,18/02/2022 15:01,"Best Utaxi driver in Ukraine. Great English, and helpfull person i ever see in Kiev",1
4948,18/02/2022 19:42,Great person,1
4961,19/02/2022 09:23,everythings is Perfect ,1
4963,19/02/2022 10:28,"Good road trip, thanks",1
4973,19/02/2022 15:17,I'd like to use only this taxi service,1
4981,19/02/2022 18:08,can't be better!,1
5029,21/02/2022 18:01,The best trip I’ve ever had..the driver is too good ✅,1
5034,21/02/2022 21:20,Best of the Best,1
5067,23/02/2022 08:04,pretty cool ride,1
5099,25/02/2022 06:23,The best EVER,1
5107,25/02/2022 19:19,"thanks a lot, perfect ride!",1
5113,26/02/2022 07:41,He saved my family's life by driving us to the border. Great driver and great person!,1
5118,26/02/2022 13:26,"best ride ever, literally saved our life",1
5124,27/02/2022 13:11,Great guy!! He did a lot more than just driving for us,1
5136,01/03/2022 14:39,great service 👌,1
5145,03/03/2022 18:45,this is the best driver I ever had the pleasure to meet,1
5156,06/03/2022 13:28,Great service I'm very happy and Beautiful Shiny Black,1
5159,07/03/2022 09:49,"best driver, reccomend!",1
5164,07/03/2022 14:26,the best driver recommend!,1
5178,14/03/2022 10:44,Great guy! Funny,1
5180,15/03/2022 07:41,"The best driver ever. Great car, clean inside, comfortable, nice communication. I recommended this driver. Fastly and safety",1
5184,16/03/2022 08:11,the best of the best,1
5208,01/04/2022 05:29,The nicest driver ever. One more terrific trip,1
5230,10/04/2022 08:31,The best service!,1
5290,03/05/2022 02:05,"great service, great timing. very nice",1
5297,05/05/2022 09:50,the best driver! He cared so much about me reaching the exact destination. Golden heart!,1
5352,22/05/2022 13:58,One of the best driver ever,1
5374,28/05/2022 17:17,worst driver yet. makes me want to use Utaxi more,-1
5379,29/05/2022 12:43,really Cool,1
5385,31/05/2022 09:10,Perfect driver with high level of driving. One of the best driver in Utaxi,1
5387,31/05/2022 10:57,Thanks Bro-man-friend 👨‍🚀,1
5396,03/06/2022 18:16,Perfect trip,1
5419,09/06/2022 06:59,The best of the best,1
5457,17/06/2022 14:15,great service!,1
5463,19/06/2022 10:35,Great playlist,1
5492,25/06/2022 07:17,The best trip I ever had !!!,1
5496,25/06/2022 22:31,Best trip in my life! Thanks,1
5524,02/12/2022 16:08,All is perfect!,1
5548,07/12/2022 09:29,Great thanks for Your service!,1
5556,08/12/2022 17:19,"Igor is the best Driver I ever drow with.  A very intellegent, polyte, fun gentelemen. I hope to drive with him again",1
5563,11/12/2022 18:50,one of the greatest trips that i've ever taken,1
5572,15/12/2022 09:17,"The best driver ever. Nice avto, clean car. Recommend",1
5586,18/12/2022 08:15,Great thanks and respect for support and service!,1
5594,19/12/2022 06:50,"smiling person, as well as brilliant companion",1
5607,21/12/2022 17:17,The best of the best,1
5780,7/16/18,"Although it may be a perception it seems safer. Most of the drivers I have met seem like nice likable people. Cars are much cleaner, not like cabs in Chicago.",1
5785,7/15/18,Used Utaxi on a family vacation in Boston and got great service from where we dropped off our rental car to the north end where having to drive is totally crazy. Driver really knew his way around. I use to live there so I knew he was not going off the beaten path.,1
6198,9/23/17,"Quick and efficient service, clean cars, and polite staff. Sets the standard our local cab services should aspire to. All this at half the price.",1
6204,9/21/17,"Used Utaxi once. Great experience and great concept for getting around without a great expense. Thought about making extra money as a driver. Rules for personal safety are for me. Overall, good business.",1
6227,9/15/17,Utaxi is a great service. There are places that don't have the privilege of having buses or even a taxi for a ride. It's great for some of our citizens that need to get to doctor appointment. Utaxi has also provided a lot of people with jobs!,1
6232,9/15/17,"For solo travelers, this is the best, cheapest, safest way to go. The savings vs a cab is tremendous. I used Utaxi in Philadelphia from a parking garage to a dinner cruise then to a outdoor festival. Even at midnight, they pick you up. Go Utaxi and stay safe.",1
6354,12/18/13,"great service, but hiring drivers who do not know their way around a town and only rely on GPS is unrealistic. Sometimes they just have to know intersections and how to get places without punching it into a GPS.",1
164,06/03/2023 12:31,Very super,1
833,29/03/2023 04:37,driver is extremely patient,1
3039,22/12/2021 07:06,awesome....35 min route completed in 15 min with shortcuts..kind person,1
3075,23/12/2021 08:14,very satisfied,1
3692,10/01/2022 16:32,Thank you. Safely reached destination,1
3703,10/01/2022 21:18,"amazing car, smooth ride, helped us with luggage",1
3833,14/01/2022 18:54,Safely reached destination. Thank you,1
4085,21/01/2022 16:04,"Very good driver, i asked to change the address and he accept",1
4111,22/01/2022 13:26,Loved it,1
4709,11/02/2022 20:21,Fantastic. Gentlemen from head to toe,1
5154,05/03/2022 17:18,"Driver is extremely kind woman, she helped evacuate two old ladies, took them from one part of Kyiv to another and more",1
5415,07/06/2022 21:53,Took us to a shelter on the start of 24 Feb. Bless him,1
5544,06/12/2022 13:41,"thoughtful driver, was waiting for me and kid in the rain",1
5576,16/12/2022 09:14,Driver was kind anough to help with the groceries! It was very pleasant ride,1
5613,22/12/2022 09:00,Looked out for me when I realized I wasn’t exactly in the right spot and waited for me without me asking. Great music also,1
5728,7/24/18,I used Utaxi when I had no ride to my post op visit and couldn't drive yet. It was a lifesaver! I got to my appointment in time and caught another driver back. It seemed a lot to spend $50 round trip but also a necessity when I couldn't drive.,1
5742,7/22/18,I have used it regularly especially in Europe. Found it to be quick and efficient at a fair price. Have only had one issue where language was a major issue and we were put out a mile from our destination.,1
6202,9/22/17,"I use Utaxi when I go to Pittsburgh when my daughter wants me to go shopping, and doesn't want me to walk. She lives in Stanton Heights and the store is Shop-N-Save on Butler St in Lawrenceville and I feel very safe taking an Utaxi.",1
6258,09/07/2017,Utaxi is very convenient and reasonable. I have used it often and have only been disappointed once. That time the driver took a longer route to my house. I rated the driver low and Utaxi contacted me right away and modified my trip charge!,1
332,10/03/2023 13:14,best taxi in city ))),1
603,21/03/2023 18:17,Great service! I left my AirPods in the car and the driver immediately reached out to me to give them back,1
981,02/10/2021 18:45,Best car in the city,1
1152,08/10/2021 17:42,"best in the world , 😊👍",1
1275,13/10/2021 21:35,"Great , driving and manners",1
1429,19/10/2021 22:29,"I forgot my phone in the car and driver was kind enough to bring it to me, i recommend!!",1
1554,24/10/2021 13:24,always in time,1
1569,25/10/2021 04:48,"Very good, very fast)",1
1590,25/10/2021 18:28,great sweet driver..has candies in his car,1
1655,28/10/2021 18:15,Fast and easy,1
1703,30/10/2021 21:07,"It was cold in the car, but fast",1
1846,06/11/2021 14:14,I left my phone and he returned it! so greatful hes a good guy!,1
2203,21/11/2021 13:24,Please I don’t mind having him every time I request a ride 🤗🤗,1
2248,23/11/2021 10:09,"Amazing! In spite of crazy traffic, Andrei got me to the train with minutes to spare! Without his experience I'm stuck!",1
2254,23/11/2021 14:17,the fastest trip ever,1
2263,23/11/2021 19:49,Drive very fast,-1
2559,06/12/2021 07:59,"A little spotive, but fast",1
2883,17/12/2021 12:21,He’s a nice driver. I forget my phone in his car and he help me return it back,1
3379,31/12/2021 18:27,Very caring about passengers,1
3462,03/01/2022 15:05,"He's been kind, he put mask and he also speaks italian",1
3561,06/01/2022 07:00,Calm and smooth trip without any issues,1
3594,07/01/2022 12:58,very smooth ride and smelled fresh,1
3937,17/01/2022 06:53,Was so helpful…and calm I appreciate his efforts making sure we got to our missing location without any kind of anger👍,1
3955,17/01/2022 17:44,Cool muzik and driving. Thanks!,1
4190,25/01/2022 08:53,Cool roof top in the car!,1
4191,25/01/2022 08:54,Mindful about passengers,1
4196,25/01/2022 11:43,"Great smell in the car - scent of a mixture of eucalyptus, cedarwood, peppermint essential oils - nice & refreshing! 5*",1
4339,29/01/2022 16:24,"class driver ,i love him",1
4531,05/02/2022 14:11,Fast and easy,1
4646,09/02/2022 19:03,Adrenalin rush :),1
5252,16/04/2022 18:29,This guy is literally a hero,1
5293,03/05/2022 16:49,Thanks 🙏 it smells great in the car,1
5308,07/05/2022 18:28,Flawless ride,1
5700,2/21/19,"Use Utaxi all the time and only a few times with issues. Canceled me once, rescheduled and guy still came on time. A lot of the drivers are certainly above the average cab driver. Clean newer cars, no smoke and speak English!",1
5804,7/13/18,"My grandson who is 19, took care of the computer/iPad stuff in Texas, smooth as clockwork, priced very fair. Both from Houston to Dallas and round trip.",1
5826,07/10/2018,App was great. Driver responded immediately and came on time. Early am. Respected my need to wake up. Quiet ride and easy arrival at airport.,1
6092,11/08/2017,"In fact, lately I haven't used any other service because Utaxi is just so effective and affordable, especially when going out socially, because drinking and driving is not an option.",1
6208,9/20/17,"Utaxi is so much better in urban areas than my car. A local that knows the route, burn less gas, does not need to park, and gives us an explanation of town is a joy.",1
6210,9/20/17,Driver was prompt and friendly. Found out drivers rate passengers (they can alert other drivers of potentially be or aggressive riders) and passengers can rate the drivers which becomes company knowledge.,1
6211,9/19/17,"I used Utaxi during my stay in Las Vegas, Nevada and it was a good experience. I was taken directly to my destination and arrived right on time and Utaxi driver was a very friendly lady and I really enjoyed laughing and talking with her during the trip.",1
4070,21/01/2022 07:07,he is amazing. smart and polite! waiting in exactly place and with easy access to the car!,1
5123,27/02/2022 12:58,This man saved my life. Took me to the station in the middle of a war. God bless him,1
1704,30/10/2021 22:18,I absolutely loved it!!!,1
2139,18/11/2021 21:17,car has check engine and TPMS alarms on,1
2626,08/12/2021 15:21,Great customer service and a smooth ride,1
3363,31/12/2021 07:44,Happy New Year! Thanks for a nice trip,1
4206,25/01/2022 16:33,Pleasant character),1
5693,2/27/19,"I don't like taxi, but I trust only this company. The price is ok and their drivers are always polite.",1
5716,7/25/18,"I've only used Utaxi once but I had a good experience. They arrived on time, took the shortest route and got me to my destination. He was very pleasant and friendly.",1
5718,7/25/18,"I like Utaxi for the most part. Their prices fluctuate (increase) frequently. There is no phone number or email to get in touch with Corporate. You get charged when the drivers go to the wrong place and say you aren't there. You get charged when you cancel but you don't get anything when drivers don't show and there is no way to make this known. For the most part it is ok but, these are things that have happened to me or family or people I know.",1
5719,7/25/18,"Utaxi is easier to use than a taxi. Instead of trying to find a cab, I just ordered a Utaxi from my phone and the driver found me. The car was clean and the driver was courteous.",1
5720,7/25/18,I am very impressed with the overall concept of the Utaxi and the dependability of service. Drivers are personable but not overbearing; courteous and intuitive - every customer does not always want to interact or converse.,1
5726,7/24/18,"Always quick to confirm a ride no matter the time of day of the location making it very convenient. Use them often to and from the airport, very dependable.",1
5727,7/24/18,"I have used several ride share companies and believe it's the best idea for travel, whether short or long distances. The drivers were always on time for pickup and drop-off to all destinations, were always polite, informative, and cordial but most importantly, I always felt safe because they were registered with a business who does background checks, would provide photos of the car and driver, accepted all forms of payment, conveniently provide their app on smart phones, and rating scale for satisfaction.",1
5734,7/23/18,I have only used this occasionally in a few cities and each time the experience was well worth it. The description of the car and the estimate of cost were both great. The cars were clean and modern and the driver was courteous.,1
5735,7/23/18,"I've been using Utaxi for years to take trips home from the store. It's a really convenient app for me, especially because I don't have a car. The drivers are almost always nice. I think it's been so rare for me to have a bad experience with someone. Also, probably the one feature I have not been a fan of us is seeing my customer rating, gives me a bit of anxiety. Overall it's a good service. I've almost never had to wait more than 10 minutes too. The prices have gone up but I am thinking (and hoping) this is because they will pay drivers better.",1
5738,7/23/18,"Utaxi works. I have used it in several places around the world. It is usually cheap, convenient and hassle-free. However, surge pricing can get out of hand. Also, I'm not convinced that they treat their drivers fairly.",1
5743,7/22/18,"Not a regular user of Utaxi but the five times. Utaxi it was convenient, safe, and reasonable priced. Much less than a DUI and paying for airport parking.",1
5748,7/21/18,"Ease of use is great, being able to not have money change hands and can tip online is a huge plus. The cars are clean and the drivers are respectful. Never have had to wait more than ten minutes.",1
5749,7/21/18,Needed to use it to go to a running store for a Packet Pickup... driver very courteous and good driver on the freeways and to find the place. It only took a couple minutes to get my packet and he agreed to stay and return me to my hotel where I got the pickup from. I was pleased with the service he provided and gave him a nice tip. There was no other potential way for me to get to the Packet Pickup unless I used a taxi and I'm positive that would have cost quite a bit more. Place was about 30 minutes away.,1
5755,7/20/18,All the convenience of a taxi at half the price. They are there in minutes rather than the unknown taxi ETA. They are always friendly. The cars are usually clean and smell good. I don't ever use taxis anymore. You can schedule a day and time to be picked up too. And that's very nice.,1
5756,7/20/18,I have only had one ride experience I wish not to repeat - I love the ease of getting a ride and the efficiency of the drivers. The costs are always reasonable as well. I will definitely use Utaxi in my future.,1
5757,7/20/18,Both of my Utaxi drivers were prompt. The conversation was great! They made my ride very pleasant and enjoyable. Also my car was down at the time and they were a big help!,1
5762,7/19/18,"The app and the information it provides are invaluable. I know how much my fare will be, who is picking me up, where they are and the actual route they are taking me. What's not to love?",1
5769,7/18/18,Every time I have used this service I have had a great experience. I have met wonderful drivers who are always friendly and polite. Rates are far better than taxis and much more convenient.,1
5775,7/17/18,"Utaxi is easy, less expensive and they don't stink. Always on time, never sultry or obnoxious. Taxis are obsolete and the only time I would take a taxi is if I could not find an Utaxi ride.",1
5777,7/17/18,"Utaxi is fast and easy! There is nothing like it and now we can't live without it! Utaxi will be here forever! Utaxi can take you to and from the airport, take you to and from the grocery store, to and from night spots, to and from sporting events, to and from funerals, to and from wedding receptions, to and from the baby showers, to and from Christmas parties, pool parties, New Year's Eve parties, office parties, On and on and on! We love Utaxi ask a mission point.",1
5783,7/16/18,Awesome for going out with friends and no one wants to drive because we're drinking. Show you the driver's face and make of the car so you know exactly who's picking you up.,1
5788,7/15/18,"I like the service. In the app you can track the cab, the driver's picture as well as the make/model of the car. Before you enter you're given a short description about the driver. And at the end of the ride you have the option of rating the driver. Definitely would recommend Utaxi!",1
5792,7/14/18,"I've used Utaxi in several cities New York, Chicago, Orlando, Miami, Boston, Las Vegas. I feel safer when I can see a picture and car description in a society where it is so unsafe for women traveling alone. In Vegas it was the cheapest way to get to and from the airport. Boston didn't allow airport pickup but I got one to return to airport, a savings of $20. If the cabs want to compete they need to adjust their rates and make us feel safer.",1
5796,7/14/18,"While I have encountered a few minor issues, they were indeed minor. I love the ease in calling for a ride, my options in selecting the kind of ride I want [when I do grocery shopping I ride alone so I have room for my groceries & get right home]. Paying & tipping is easy. Every driver has been great; their cars are always clean & modern [never a beater]. Always smoke-free.",1
5809,07/12/2018,"We took it for our first time in Chicago and always were accommodated with the size of our group. They were very prompt, maybe sometimes too prompt but excellent service.",1
5811,07/12/2018,"Since I don't do any crazy stuff while riding in an Utaxi car, my experiences have been positive. I see in the news all the time, these people doing stupid stuff while riding in an Utaxi car. They have no respect for the person using THEIR OWN VEHICLE, to drive them around.",1
5813,07/11/2018,I have always had a good experience with Utaxi. There was only one time when the driver drove way too fast. It seems as if he was annoyed to have to do this fair so early in the morning. But otherwise... Utaxi is great!,1
5814,07/11/2018,I love the app. Utaxi is a great way for getting around and it's still somewhat economical. Great in Dallas but not so good in Tucson where I was not able to get an Utaxi early morning pick up to the airport.,1
