index,custom_comment,sentiment,1 Pricing and Fairness,2 Driver professionalism,3 Driver behaviour,4 Customer Service,5 Application,6 Lost things,7 Vehicle Condition,8 Safety & reliability,9 General bad,10 Other
385,Late arrival. Wrong side of the street. Idle before calling,-1,1,1,0,0,0,0,0,0,0,0
387,He stoped in the wrong direction and took money from me 25 more money,-1,1,1,0,0,0,0,0,0,0,0
388,Driver came late,-1,0,1,0,0,0,0,0,0,0,0
394,I had to ask several times to turn off the air conditioner,-1,0,0,1,0,0,0,1,0,0,0
395,started counting before he arrived,-1,1,1,0,0,0,0,0,0,0,0
404,Used the long route yet was given an option of a shorter route and I was late for my appointment,-1,0,1,0,0,0,0,0,0,0,0
406,He’s very terrible driver he don’t have change,-1,1,1,0,0,0,0,0,0,0,0
407,Driver was trying to collect more than the amount stated for the trip!,-1,1,0,1,0,0,0,0,0,0,0
410,He left the paid idle way longer than necessary and didn’t intend to deliver the food to my door after I paid the fee,-1,1,0,1,0,0,0,0,0,0,0
412,"Driver with a very low rating, who doesn’t know his work, this driver fucked me up. Unpleasant and smelling vehicle 🤬",-1,0,1,1,0,0,0,1,0,0,0
418,"Driver didn’t wear a mask and don’t fasten a seat belt, bad driving style, you don’t feel comfortable  with this driver",-1,0,1,1,0,0,0,0,1,0,0
420,He did not take me to my destination,-1,0,1,0,0,0,0,0,0,0,0
430,"he was late,he is drunk,i miss my train to Kiev because of him, were i was rushing i left my 20 UAH thinking that",-1,1,1,1,0,0,0,0,1,0,0
431,Charged for paid idle when I was never late at all and was waiting for the driver at my location instead,-1,1,0,0,0,0,0,0,0,0,0
432,"Charged extra money , after the paid ideal ended then also he took extra money",-1,1,0,1,0,0,0,0,0,0,0
434,he did not give me complete balance,-1,1,0,0,0,0,0,0,0,0,0
435,he didn't have change and waited for me 200m away from the place i originally ordered from,-1,1,1,0,0,0,0,0,0,0,0
437,the driver did not take me to the coreect place. and he refuse to take me to the coreect one.  k had to oeder a new taxi,-1,0,1,1,0,0,0,0,0,0,0
438,He forgot to close order 2 hours I can’t order another taxi,-1,0,1,0,0,0,0,0,0,0,0
439,He kept on putting paid idle for me,-1,1,0,0,0,0,0,0,0,0,0
444,turned on idle before he arrived,-1,1,0,0,0,0,0,0,0,0,0
445,Driver took way too long and made me pay more,-1,1,1,0,0,0,0,0,0,0,0
454,Was insulting me because I want to collect my complete change,-1,1,0,1,0,0,0,0,0,0,0
455,The driver did not give me my complete change,-1,0,0,0,0,0,0,0,0,0,0
456,Took more money wasn’t on time wasn’t in the correct area,-1,1,1,0,0,0,0,0,0,0,0
457,Driver took a long route,-1,0,1,0,0,0,0,0,0,0,0
458,came to destination pretty quickly…didn’t receive my 4 grivna change though,-1,1,0,0,0,0,0,0,0,0,0
459,"he is treating us bad and didn't went to the  correct location, speaking bad words",-1,0,1,1,0,0,0,0,0,0,0
461,I asked for second destination but driver didn’t do,-1,0,0,1,0,0,0,0,0,0,0
464,The route he followed made the trip longer,-1,0,1,0,0,0,0,0,0,0,0
469,"I wanted to change address and taxi man did not want to go to the address, took my money and you guys did not refund",-1,1,0,1,0,0,0,0,0,0,0
472,he doesn't know what he's doing ... he is mentally not ok and going a wrong way,-1,0,1,1,0,0,0,0,1,0,0
475,chose much longer route,-1,0,1,0,0,0,0,0,0,0,0
481,The driver took the order before he had finished the previous one (which was far away from my picking up point),-1,0,1,0,0,0,0,0,0,0,0
486,The driver was really late. The arrival time supposed to be 11:07am and he arrived around 11:20am,-1,0,1,0,0,0,0,0,0,0,0
490,This driver was speeding too much and he didn’t give me my complete change,-1,1,0,0,0,0,0,0,1,0,0
491,"Bad driving skills , the driver chose the longest route",-1,0,1,0,0,0,0,0,0,0,0
493,Started idea before he got to the location,-1,1,0,0,0,0,0,0,0,0,0
502,he was charge extra,-1,1,0,0,0,0,0,0,0,0,0
511,he stoped far from the pickup point and didnt knew the way and places. terrible driver. want my money  back,-1,1,1,0,0,0,0,0,0,0,0
525,not ready to stop at the second adress want rrefund,-1,1,0,1,0,0,0,0,0,0,0
527,Very rude and annoying . Started the idle while in traffic . Like traffic is my fault . Terrible taxi,-1,1,0,1,0,0,0,0,0,0,0
530,Didn’t pay attention to my request,-1,0,0,1,0,0,0,0,0,0,0
535,Driver complained about how I closed the door. Unnecessarily ! Absurd ! An Argumentative person. Anymore ! Period,-1,0,0,1,0,0,0,0,0,0,0
536,This driver dont come to apartment and wait before market while it is also raining,-1,0,1,0,0,0,0,0,0,0,0
545,He didn’t come,-1,0,1,0,0,0,0,0,0,0,0
546,asked him to put on the AC since it’s comfort or open the windows and he said no and he was playing wearing his earpiece,-1,0,0,1,0,0,0,0,0,0,0
550,driver was 5 minutes late,-1,0,1,0,0,0,0,0,0,0,0
551,"Driver start idle, though he didn’t wait for me",-1,1,0,0,0,0,0,0,0,0,0
562,"unfriendly, bumpy ride, swearing at other drivers . did not get me to the destination",-1,0,1,1,0,0,0,0,1,0,0
564,He was so rude and took extra money from me,-1,1,0,1,0,0,0,0,0,0,0
577,He started the idle time before reaching the place of picking me up and he was shouting at me😤😤very rubbish driver!!,-1,1,0,1,0,0,0,0,0,0,1
578,"the driver was 2 minutes late. Although he had been advised in advance, on tthat I will need change, he did not have any",-1,1,1,0,0,0,0,0,0,0,0
590,"Taxi driver took my change of 90uah instead of send it to my card, he cheated me and stole my change",-1,1,0,1,0,0,0,0,0,0,0
592,The driver made me wait for 10 minutes meanwhile on the operator he said he has arrived. So the waiting time Was countin,-1,1,0,1,0,0,0,0,0,0,0
597,"Driver refused to wear mask properly, since ""it's hard to breathe in mask"". Also, driver wasn't careful during driving",-1,0,0,1,0,0,0,0,1,0,0
598,Took a long way instead of a short drop off,-1,0,1,0,0,0,0,0,0,0,0
599,Driver was 10 minutes late,-1,0,1,0,0,0,0,0,0,0,0
601,Took a longer rout  not too friendly,-1,0,1,1,0,0,0,0,0,0,0
604,refused to take me to my destination...he was very agressive and driving recklessly,-1,0,1,1,0,0,0,0,1,0,0
606,Stop me another address and he doesn’t want to go to right address,-1,0,1,1,0,0,0,0,0,0,0
607,"went through a wrong route, was rude",-1,0,1,1,0,0,0,0,0,0,0
616,"The 2 grivnas paid iddle, shouldn’t be, since I ordered the taxi to Deribasovskaya 9 and taxi wasn’t there while empty",-1,1,0,0,0,0,0,0,0,0,0
617,He don’t have patience,-1,0,0,1,0,0,0,0,0,0,0
622,He cheated me,-1,0,0,1,0,0,0,0,0,0,0
623,He didnt come to me,-1,0,1,0,0,0,0,0,0,0,0
624,"Driver took the longest road, which brought to overcharging",-1,1,1,0,0,0,0,0,0,0,0
632,"Terrible, He wrote that he came early to get more money, but he did not come",-1,0,0,1,0,0,0,0,0,0,0
639,"He put my food in the trunk, so it got cold",-1,0,1,0,0,0,0,0,0,0,0
640,"Driver insisted on the trip cancellation when we on the way to the destination (to earn more). I refused, he was rude",-1,0,1,1,0,0,0,0,0,0,0
650,Didn’t drop me at the correct location,-1,0,1,0,0,0,0,0,0,0,1
651,Didn’t drop at correct location,-1,0,1,0,0,0,0,0,0,0,0
654,Refused to go to the entrance fee of the location,-1,0,1,0,0,0,0,0,0,0,0
655,"Rude driver, did not even give me a call when he came, also says no change went to change money, he was gone already",-1,0,1,1,0,0,0,0,0,0,0
656,He didn’t drop where he was supposed to he made me walk,-1,0,1,0,0,0,0,0,0,0,0
659,slow very slow,-1,0,1,0,0,0,0,0,0,0,0
660,"Paid cash, driver didnt change terms of payment, now i cant make an order until i pay debt which is already paid off🖕",-1,1,1,0,0,0,0,0,0,0,0
672,Driver was extremely rude .He didn’t give me complete change,-1,1,0,1,0,0,0,0,0,0,0
673,"The driver didn’t arrive,I had 50% discount on this ride, and he started the ride, drove off and ended the ride.Very bad",-1,0,1,0,0,0,0,0,0,0,0
679,Driver never arrived and the money was taken from my account,-1,1,1,0,0,0,0,0,0,0,0
680,Took me to wrong destination and was playing games on his phone,-1,0,1,0,0,0,0,0,1,0,0
681,He didn’t drop me at my location and refused further clarification,-1,0,1,1,0,0,0,0,0,0,0
686,Never called to inform he's arrived,-1,0,1,0,0,0,0,0,0,0,0
689,I don’t want this man to pick me up again please,-1,0,0,1,0,0,0,0,0,0,0
690,"driver didn’t knw whr to come and when i told him, he didn’t understand and started idle time and didn’t knw destination",-1,1,1,0,0,0,0,0,0,0,0
692,He took more than ride price,-1,1,0,0,0,0,0,0,0,0,0
698,"I gave him 500 uah in local currency, and he promised to give me change. He took my money, lied to me, and drove off",-1,1,0,1,0,0,0,0,0,0,0
703,Tried to scam me,-1,0,0,1,0,0,0,0,0,0,0
706,"Driver didn’t arrive on time. He started idle, I found him he said he wasn’t the driver",-1,1,1,1,0,0,0,0,0,0,0
709,I did not know the route to reach my destination,-1,0,1,0,0,0,0,0,0,0,0
712,"This driver is a cheat, he started idle before he got to the location and he continued idle when I was inside the car",-1,1,0,1,0,0,0,0,0,0,0
721,"Driver went away , I put two addresses and paid with card , driver just left and ended trip when I got to first place",-1,1,1,0,0,0,0,0,0,0,0
725,"we were in a hurry to me bus to travel, told driver we  didnt huch time, he said to move faster we have to pay extra",-1,1,0,1,0,0,0,0,0,0,0
728,"Slow , very very slow",-1,0,1,0,0,0,0,0,0,0,0
734,He came late and was smoking,-1,0,1,1,0,0,0,0,0,0,0
740,He refused to drop me at my destination but instead stopped across the road and told me to continue the rest on foot,-1,0,1,1,0,0,0,0,1,0,0
748,"Please return my 4grivnas , the taxi man forgot  to cancel idleness even after I have entered the taxi and I told him",-1,1,0,1,0,0,0,0,0,0,0
751,The driver don’t know the direction of the address set on the map and didn’t follow it,-1,0,1,0,0,0,0,0,0,0,0
753,"Waited the driver for 10+ mins after appointed time under the rain, and he got to another block + started the extra time",-1,1,1,0,0,0,0,0,0,0,0
757,very arrogant guy drive reckless on the road at the final stop he refused to give me my change said just saying some,-1,1,0,1,0,0,0,0,1,0,0
760,He didn’t take me to my destination and dropped me at a place I didn’t know and left me to figure it out myself,-1,0,1,0,0,0,0,0,0,0,0
761,"i had ordered for 2 locations on the promo, only for the driver to tell me the price of the trip is for one location",-1,1,0,0,0,0,0,0,0,0,0
762,He took over 1hr to deliver. he took another order without completing my own. My friend was not happy,-1,0,1,0,0,0,0,0,0,0,0
763,Driver did not want to give me change and also went to the wrong place,-1,1,1,0,0,0,0,0,0,0,0
764,Driver swindled me. Asked I pay cash for a card trip and refuse to contact support to refund my money,-1,1,0,1,0,0,0,0,0,0,0
771,Ended the ride late,-1,0,1,0,0,0,0,0,0,0,0
775,He stopped before the address,-1,0,1,0,0,0,0,0,0,0,0
787,Driver has started the ride before he arrives to my address,-1,1,1,0,0,0,0,0,0,0,0
789,"Your driver was a fucking racist sexist fuck, how do you not come to the right address I order then insult me the whole",-1,0,1,1,0,0,0,0,0,0,0
792,he dropped in wrong location and asked for more money,-1,1,1,0,0,0,0,0,0,0,0
794,He took away my money,-1,1,0,0,0,0,0,0,0,0,0
795,Driver didn’t start the trip and continued paid idle even after receiving package. I was charge extra 3 minutes paid idl,-1,1,0,0,0,0,0,0,0,0,0
797,Driver threw away the parcel he was asked to deliver and asked me to pay him still,-1,1,0,1,0,0,1,0,0,0,0
798,driver came very late,-1,0,1,0,0,0,0,0,0,0,0
801,Didn’t give me my change and tried dropping me off down the street and not at my address. Utaxi get better drivers!,-1,1,1,0,0,0,0,0,0,0,0
808,He was 4 minutes late,-1,0,1,0,0,0,0,0,0,0,0
811,He was very rude and didn’t take me to the right place and he also didn’t give me my complete change,-1,1,1,1,0,0,0,0,0,0,0
812,Driver started the trip while on the highway and driver was from another company ( pilot),-1,1,1,0,0,0,0,0,0,0,1
814,The driver behaved so well with us he took extra money and threaten i was with girl and he threatened us and took 50 uah,-1,1,0,1,0,0,0,0,0,0,0
815,too fast and stupidly tricky manner of driving. we almost had an accident. not safety at all!,-1,0,1,0,0,0,0,0,1,0,0
816,The driver refused to drive me to the exact place I needed to go saying he couldn’t stop there which was a lie,-1,0,0,1,0,0,0,0,0,0,0
823,"Taxi man forgot to stop idleness after my trip has started and  went to the wrong address,send my 14grv back, I’m angry",-1,1,1,0,0,0,0,0,0,0,0
824,"Taxi man forgot to stop idleness after trip as started,return my 2grv driver keep stealing my money when I pay with card",-1,1,0,1,0,0,0,0,0,0,0
825,I wish I could give him 0 star,-1,0,0,0,0,0,0,0,0,1,0
836,I give him 200 and the trip only 77 i want my money back,-1,1,0,0,0,0,0,0,0,0,0
837,Came very late and made me late to appointment,-1,0,1,0,0,0,0,0,0,0,0
841,The driver ran away with my laptop... ended the trip without delivering laptop. help please 🥺,-1,0,0,1,0,0,1,0,0,0,0
844,he did not read the address i put in. spent so much time driving in circles,-1,0,1,0,0,0,0,0,0,0,0
847,"Rude. He was late, didn’t apologize, didn’t offer help with our suitcases",-1,0,1,1,0,0,0,0,0,0,0
853,The driver did not deliver the order as stipulated. He took another order instead. And took a long time ti deliver food,-1,0,1,1,0,0,0,0,0,0,0
855,diver charges me 130 instead of 60 that i agreed to pay upon ordering. he's taking advantage of me for not speaking russ,-1,1,0,1,0,0,0,0,0,0,0
857,He was not cooperative at all and wanted to even take more money from me,-1,1,0,1,0,0,0,0,0,0,0
868,he arrived and didnt let us know and my money got cut from my card and this is very bad .. i guess you should see to it,-1,1,1,0,0,0,0,0,0,0,0
875,"he drives so slow, it's like he doesn't have a passenger",-1,0,1,0,0,0,0,0,0,0,0
877,Didn't come to the right place..stopped away..bad smell,-1,0,1,0,0,0,0,1,0,0,0
881,"Driver didn’t take me to my final destination, left me and I didn’t make full use of my money",-1,0,1,0,0,0,0,0,0,0,0
882,Wrong point of destination,-1,0,1,0,0,0,0,0,0,0,0
890,"didnt come to the location, i have to walk",-1,0,1,0,0,0,0,0,0,0,0
892,the driver didn't start the ride on time causing the paid idle time last longer than normal. not happy,-1,1,0,0,0,0,0,0,0,0,0
893,Began paid idle before arriving to the place,-1,1,0,0,0,0,0,0,0,0,0
894,He didn’t turn off idle even when I was in the car. He then charged me extra. Silly,-1,1,0,0,0,0,0,0,0,0,0
898,He doesn’t know how to drive  and he drive me to another address,-1,0,1,0,0,0,0,0,0,0,0
900,requesting for another cash,-1,1,0,1,0,0,0,0,0,0,0
911,he just left us in the middle of the road ...and he was so rude,-1,0,1,1,0,0,0,0,0,0,0
914,Very horrible driver. We almost had an accident ! Does not know how to drive. Coughing every 5 mins and no MASK!!😡,-1,0,1,1,0,0,0,0,1,0,0
915,Driver polluted the car,-1,0,0,1,0,0,0,1,0,0,0
917,I paid idle when he made me wait,-1,1,0,1,0,0,0,0,0,0,0
921,Driver was late for 15 minutes,-1,0,1,0,0,0,0,0,0,0,0
922,I had a lot of bags and the driver didn't get out of the car to open and help to put yhe bags in the trunk,-1,0,0,1,0,0,0,0,0,0,0
923,Told him to call operator and change address I forgot my phone and I needed to go back to the first address. He refused,-1,0,0,1,0,0,0,0,0,0,0
924,Very badly behaved he yells at us like children and we got to destination we give him 500uah and he started talking mean,-1,0,0,1,0,0,0,0,0,0,0
930,Was 116 but we had small dog in a cage so he told us give me 150 hryvnias and didn’t accept less,-1,1,0,1,0,0,0,0,0,0,0
932,My price changed drastically,-1,1,0,0,0,0,0,0,0,0,0
935,"Talks unnecessarily,kept saying insults in Ukraine language and thought I didn’t understand",-1,0,0,1,0,0,0,0,0,0,0
936,"driver was 11 minutes late, though he had advised of 7 min delay",-1,0,1,0,0,0,0,0,0,0,0
939,driver conned us we told him to go from other side but he charged more money for this,-1,1,0,1,0,0,0,0,0,0,0
944,lied to get a tip,-1,1,0,1,0,0,0,0,0,0,0
945,take extra money,-1,1,0,0,0,0,0,0,0,0,0
947,When driver ride he didn’t stopped waiting idle. Until few moment!,-1,1,0,0,0,0,0,0,0,0,0
949,The driver dropped 1 block before the final destination. Didn’t want to make turns before the gate. It was free there,-1,0,1,0,0,0,0,0,0,0,0
951,Started paid idle immediately he arrived and I ended up paying more. I don’t think that is how it works,-1,1,0,0,0,0,0,0,0,0,0
953,He didn’t assist me with moving my things despite how heavy they were,-1,0,0,1,0,0,0,0,0,0,0
956,"Sexist talks, wtf",-1,0,0,1,0,0,0,0,0,0,0
957,Car arrived 20mins later than expected. Things that were delivered were near the driver though initially were put behind,-1,0,1,1,0,0,0,0,0,0,0
958,"He so rude , didn’t wanna come to the entrance to pick and threatened to call police",-1,0,0,1,0,0,0,0,0,0,0
